"rgn_id","rgn_type","type_w_ant","rgn_ant_id","rgn_name","mean","year"
1,"eez","eez",1,"Cocos Islands",NA,"2013"
2,"eez","eez",2,"Christmas Island",NA,"2013"
3,"eez","eez",3,"Norfolk Island",NA,"2013"
4,"eez","eez",4,"Macquarie Island",NA,"2013"
5,"eez","eez",5,"New Caledonia",0.00111684607165768,"2013"
6,"eez","eez",6,"Vanuatu",0.00202004205357362,"2013"
7,"eez","eez",7,"Solomon Islands",0.000441794832530335,"2013"
8,"eez","eez",8,"Palau",5.21196307131803e-05,"2013"
9,"eez","eez",9,"Micronesia",0.00168982273719797,"2013"
10,"eez","eez",10,"Nauru",3.39529882313474e-06,"2013"
11,"eez","eez",11,"Marshall Islands",NA,"2013"
12,"eez","eez",12,"Wake Island",NA,"2013"
13,"eez","eez",13,"Northern Mariana Islands and Guam",0.000143804612762163,"2013"
14,"eez","eez",14,"Taiwan",0.0491962994030316,"2013"
15,"eez","eez",15,"Philippines",0.0172146923259966,"2013"
16,"eez","eez",16,"Australia",0.0135143483060976,"2013"
17,"eez","eez",17,"Papua New Guinea",0.00286607714547263,"2013"
18,"eez","eez",18,"Fiji",0.0106009806499038,"2013"
19,"eez","eez",19,"Tuvalu",NA,"2013"
20,"eez","eez",20,"South Korea",0.0300204094539883,"2013"
21,"eez","eez",21,"North Korea",0.0484015972811836,"2013"
24,"eez","eez",24,"Cambodia",0.0054655602263843,"2013"
25,"eez","eez",25,"Thailand",0.030807111935737,"2013"
26,"eez","eez",26,"Andaman and Nicobar",0.000729545724596864,"2013"
28,"eez","eez",28,"Comoro Islands",0.000414316749563176,"2013"
29,"eez","eez",29,"Mayotte",0.0104666169075574,"2013"
30,"eez","eez",30,"Glorioso Islands",NA,"2013"
31,"eez","eez",31,"Seychelles",0.0136594289949459,"2013"
32,"eez","eez",32,"Reunion",NA,"2013"
33,"eez","eez",33,"Juan de Nova Island",NA,"2013"
34,"eez","eez",34,"Bassas da India",NA,"2013"
35,"eez","eez",35,"Ile Europa",NA,"2013"
36,"eez","eez",36,"Ile Tromelin",NA,"2013"
37,"eez","eez",37,"Mauritius",NA,"2013"
38,"eez","eez",38,"British Indian Ocean Territory",NA,"2013"
39,"eez","eez",39,"Maldives",NA,"2013"
40,"eez","eez",40,"Sri Lanka",0.0244184946670334,"2013"
41,"eez","eez",41,"Mozambique",0.0481602108156748,"2013"
42,"eez","eez",42,"Madagascar",0.0331576300246588,"2013"
43,"eez","eez",43,"Kenya",0.100352652881992,"2013"
