rgn_id,rgn_name,year,number_jobs,unit,sector,source
14,Taiwan,2008,93430,Persons (1),mar,OECD
14,Taiwan,2009,83500,Persons (1),mar,OECD
14,Taiwan,2010,83510,Persons (1),mar,OECD
14,Taiwan,2011,84570,Persons (1),mar,OECD
14,Taiwan,2012,87660,Persons (1),mar,OECD
14,Taiwan,2013,89170,Persons (1),mar,OECD
14,Taiwan,2014,87320,Persons (1),mar,OECD
14,Taiwan,2015,88320,Persons (1),mar,OECD
14,Taiwan,2016,86520,Persons (1),mar,OECD
14,Taiwan,2017,90110,Persons (1),mar,OECD
14,Taiwan,2018,89130,Persons (1),mar,OECD
14,Taiwan,2019,84670,Persons (1),mar,OECD
14,Taiwan,2020,88520,Persons (1),mar,OECD
14,Taiwan,2021,85340,Persons (1),mar,OECD
14,Taiwan,2022,85440,Persons (1),mar,OECD
15,Philippines,2008,350000,Persons (1),mar,OECD
15,Philippines,2009,350000,Persons (1),mar,OECD
15,Philippines,2010,350000,Persons (1),mar,OECD
15,Philippines,2011,350000,Persons (1),mar,OECD
15,Philippines,2012,350000,Persons (1),mar,OECD
15,Philippines,2013,338660,Persons (1),mar,OECD
15,Philippines,2014,327330,Persons (1),mar,OECD
15,Philippines,2015,315990,Persons (1),mar,OECD
15,Philippines,2016,304650,Persons (1),mar,OECD
15,Philippines,2017,293320,Persons (1),mar,OECD
15,Philippines,2018,281980,Persons (1),mar,OECD
15,Philippines,2019,270640,Persons (1),mar,OECD
15,Philippines,2020,259300,Persons (1),mar,OECD
15,Philippines,2021,247970,Persons (1),mar,OECD
15,Philippines,2022,247970,Persons (1),mar,OECD
16,Australia,2008,8000,Persons (1),mar,OECD
16,Australia,2009,7000,Persons (1),mar,OECD
16,Australia,2010,7000,Persons (1),mar,OECD
16,Australia,2011,7000,Persons (1),mar,OECD
16,Australia,2012,7000,Persons (1),mar,OECD
16,Australia,2013,6000,Persons (1),mar,OECD
16,Australia,2014,7000,Persons (1),mar,OECD
16,Australia,2015,7000,Persons (1),mar,OECD
16,Australia,2016,6000,Persons (1),mar,OECD
16,Australia,2017,6000,Persons (1),mar,OECD
16,Australia,2018,6000,Persons (1),mar,OECD
16,Australia,2019,6000,Persons (1),mar,OECD
16,Australia,2020,7000,Persons (1),mar,OECD
16,Australia,2021,7000,Persons (1),mar,OECD
16,Australia,2022,7000,Persons (1),mar,OECD
20,South Korea,2008,42860,Persons (1),mar,OECD
20,South Korea,2009,43430,Persons (1),mar,OECD
20,South Korea,2010,29710,Persons (1),mar,OECD
20,South Korea,2011,32040,Persons (1),mar,OECD
20,South Korea,2012,30190,Persons (1),mar,OECD
20,South Korea,2013,29720,Persons (1),mar,OECD
20,South Korea,2014,27650,Persons (1),mar,OECD
20,South Korea,2015,35100,Persons (1),mar,OECD
20,South Korea,2016,35160,Persons (1),mar,OECD
20,South Korea,2017,35300,Persons (1),mar,OECD
20,South Korea,2018,37990,Persons (1),mar,OECD
20,South Korea,2019,37030,Persons (1),mar,OECD
20,South Korea,2020,27210,Persons (1),mar,OECD
20,South Korea,2021,28040,Persons (1),mar,OECD
20,South Korea,2022,27080,Persons (1),mar,OECD
25,Thailand,2008,432420,Persons (1),mar,OECD
25,Thailand,2009,432420,Persons (1),mar,OECD
25,Thailand,2010,432420,Persons (1),mar,OECD
25,Thailand,2011,432420,Persons (1),mar,OECD
25,Thailand,2012,432420,Persons (1),mar,OECD
25,Thailand,2013,432420,Persons (1),mar,OECD
25,Thailand,2014,432420,Persons (1),mar,OECD
25,Thailand,2015,432420,Persons (1),mar,OECD
25,Thailand,2016,432420,Persons (1),mar,OECD
25,Thailand,2017,432420,Persons (1),mar,OECD
25,Thailand,2018,537790,Persons (1),mar,OECD
25,Thailand,2019,553370,Persons (1),mar,OECD
25,Thailand,2020,578500,Persons (1),mar,OECD
25,Thailand,2021,541530,Persons (1),mar,OECD
25,Thailand,2022,547210,Persons (1),mar,OECD
59,Belgium,2008,140,Persons (1),mar,OECD
59,Belgium,2009,140,Persons (1),mar,OECD
59,Belgium,2010,140,Persons (1),mar,OECD
59,Belgium,2011,140,Persons (1),mar,OECD
59,Belgium,2012,140,Persons (1),mar,OECD
59,Belgium,2013,140,Persons (1),mar,OECD
59,Belgium,2014,140,Persons (1),mar,OECD
59,Belgium,2015,140,Persons (1),mar,OECD
59,Belgium,2016,140,Persons (1),mar,OECD
59,Belgium,2017,140,Persons (1),mar,OECD
59,Belgium,2018,140,Persons (1),mar,OECD
59,Belgium,2019,140,Persons (1),mar,OECD
59,Belgium,2020,140,Persons (1),mar,OECD
59,Belgium,2021,140,Persons (1),mar,OECD
59,Belgium,2022,140,Persons (1),mar,OECD
69,Latvia,2008,330,Persons (1),mar,OECD
69,Latvia,2009,310,Persons (1),mar,OECD
69,Latvia,2010,330,Persons (1),mar,OECD
69,Latvia,2011,340,Persons (1),mar,OECD
69,Latvia,2012,350,Persons (1),mar,OECD
69,Latvia,2013,360,Persons (1),mar,OECD
69,Latvia,2014,390,Persons (1),mar,OECD
69,Latvia,2015,380,Persons (1),mar,OECD
69,Latvia,2016,360,Persons (1),mar,OECD
69,Latvia,2017,360,Persons (1),mar,OECD
69,Latvia,2018,340,Persons (1),mar,OECD
69,Latvia,2019,300,Persons (1),mar,OECD
69,Latvia,2020,330,Persons (1),mar,OECD
69,Latvia,2021,310,Persons (1),mar,OECD
69,Latvia,2022,310,Persons (1),mar,OECD
70,Estonia,2008,100,Persons (1),mar,OECD
70,Estonia,2009,120,Persons (1),mar,OECD
70,Estonia,2010,90,Persons (1),mar,OECD
70,Estonia,2011,100,Persons (1),mar,OECD
70,Estonia,2012,80,Persons (1),mar,OECD
70,Estonia,2013,100,Persons (1),mar,OECD
70,Estonia,2014,90,Persons (1),mar,OECD
70,Estonia,2015,100,Persons (1),mar,OECD
70,Estonia,2016,90,Persons (1),mar,OECD
70,Estonia,2017,100,Persons (1),mar,OECD
70,Estonia,2018,110,Persons (1),mar,OECD
70,Estonia,2019,110,Persons (1),mar,OECD
70,Estonia,2020,100,Persons (1),mar,OECD
70,Estonia,2021,100,Persons (1),mar,OECD
70,Estonia,2022,90,Persons (1),mar,OECD
71,Bulgaria,2008,460,Persons (1),mar,OECD
71,Bulgaria,2009,460,Persons (1),mar,OECD
71,Bulgaria,2010,460,Persons (1),mar,OECD
71,Bulgaria,2011,500,Persons (1),mar,OECD
71,Bulgaria,2012,500,Persons (1),mar,OECD
71,Bulgaria,2013,490,Persons (1),mar,OECD
71,Bulgaria,2014,780,Persons (1),mar,OECD
71,Bulgaria,2015,780,Persons (1),mar,OECD
71,Bulgaria,2016,1040,Persons (1),mar,OECD
71,Bulgaria,2017,1250,Persons (1),mar,OECD
71,Bulgaria,2018,1200,Persons (1),mar,OECD
71,Bulgaria,2019,1390,Persons (1),mar,OECD
71,Bulgaria,2020,1290,Persons (1),mar,OECD
71,Bulgaria,2021,1490,Persons (1),mar,OECD
71,Bulgaria,2022,1520,Persons (1),mar,OECD
72,Romania,2008,3830,Persons (1),mar,OECD
72,Romania,2009,3640,Persons (1),mar,OECD
72,Romania,2010,3460,Persons (1),mar,OECD
72,Romania,2011,3280,Persons (1),mar,OECD
72,Romania,2012,3090,Persons (1),mar,OECD
72,Romania,2013,2480,Persons (1),mar,OECD
72,Romania,2014,2670,Persons (1),mar,OECD
72,Romania,2015,2170,Persons (1),mar,OECD
72,Romania,2016,2160,Persons (1),mar,OECD
72,Romania,2017,2490,Persons (1),mar,OECD
72,Romania,2018,2190,Persons (1),mar,OECD
72,Romania,2019,2460,Persons (1),mar,OECD
72,Romania,2020,2460,Persons (1),mar,OECD
72,Romania,2021,2440,Persons (1),mar,OECD
72,Romania,2022,2080,Persons (1),mar,OECD
76,Turkey,2008,7610,Persons (1),mar,OECD
76,Turkey,2009,6350,Persons (1),mar,OECD
76,Turkey,2010,6600,Persons (1),mar,OECD
76,Turkey,2011,7520,Persons (1),mar,OECD
76,Turkey,2012,8500,Persons (1),mar,OECD
