"rgn_id","taxa_code","taxa_group","family","year","tonnes"
5,"Blue shrimp_1","SH","Penaeidae",1983,"0"
5,"Blue shrimp_1","SH","Penaeidae",1984,"0"
5,"Blue shrimp_1","SH","Penaeidae",1985,"0"
5,"Blue shrimp_1","SH","Penaeidae",1986,"0"
5,"Blue shrimp_1","SH","Penaeidae",1987,"0"
5,"Blue shrimp_1","SH","Penaeidae",1988,"0"
5,"Blue shrimp_1","SH","Penaeidae",1989,"0"
5,"Blue shrimp_1","SH","Penaeidae",1990,"0"
5,"Blue shrimp_1","SH","Penaeidae",1991,"0"
5,"Blue shrimp_1","SH","Penaeidae",1992,"0"
5,"Blue shrimp_1","SH","Penaeidae",1993,"0"
5,"Blue shrimp_1","SH","Penaeidae",1994,"0"
5,"Blue shrimp_1","SH","Penaeidae",1995,"0"
5,"Blue shrimp_1","SH","Penaeidae",1996,"0"
5,"Blue shrimp_1","SH","Penaeidae",1997,"0"
5,"Blue shrimp_1","SH","Penaeidae",1998,"0"
5,"Blue shrimp_1","SH","Penaeidae",1999,"0"
5,"Blue shrimp_1","SH","Penaeidae",2000,"0"
5,"Blue shrimp_1","SH","Penaeidae",2001,"0"
5,"Blue shrimp_1","SH","Penaeidae",2002,"0"
5,"Blue shrimp_1","SH","Penaeidae",2003,"0"
5,"Blue shrimp_1","SH","Penaeidae",2004,"0"
5,"Blue shrimp_1","SH","Penaeidae",2005,"0"
5,"Blue shrimp_1","SH","Penaeidae",2006,"0"
5,"Blue shrimp_1","SH","Penaeidae",2007,"0"
5,"Blue shrimp_1","SH","Penaeidae",2008,"0"
5,"Blue shrimp_1","SH","Penaeidae",2009,"0"
5,"Blue shrimp_1","SH","Penaeidae",2010,"0"
5,"Blue shrimp_1","SH","Penaeidae",2011,"0"
5,"Blue shrimp_1","SH","Penaeidae",2012,"0"
5,"Blue shrimp_1","SH","Penaeidae",2013,"0"
5,"Blue shrimp_1","SH","Penaeidae",2014,"0"
5,"Blue shrimp_1","SH","Penaeidae",2015,"0"
5,"Blue shrimp_1","SH","Penaeidae",2016,"0"
5,"Blue shrimp_1","SH","Penaeidae",2017,"0"
5,"Blue shrimp_1","SH","Penaeidae",2018,"0"
5,"Blue shrimp_1","SH","Penaeidae",2019,"0"
5,"Blue shrimp_1","SH","Penaeidae",2020,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1989,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1990,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1991,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1992,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1993,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1994,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1995,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1996,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1997,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1998,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",1999,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2000,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2001,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2002,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2003,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2004,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2005,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2006,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2007,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2008,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2009,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2010,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2011,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2012,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2013,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2014,"0"
5,"Pacific cupped oyster_2","BI","Ostreidae",2015,"NA_to_zero"
5,"Pacific cupped oyster_2","BI","Ostreidae",2016,"NA_to_zero"
5,"Pacific cupped oyster_2","BI","Ostreidae",2017,"NA_to_zero"
5,"Pacific cupped oyster_2","BI","Ostreidae",2018,"NA_to_zero"
5,"Pacific cupped oyster_2","BI","Ostreidae",2019,"NA_to_zero"
5,"Pacific cupped oyster_2","BI","Ostreidae",2020,"NA_to_zero"
5,"Snappers nei_3","F","Lutjanidae",2015,"0"
5,"Snappers nei_3","F","Lutjanidae",2016,"0"
5,"Snappers nei_3","F","Lutjanidae",2017,"0"
5,"Snappers nei_3","F","Lutjanidae",2018,"0"
5,"Snappers nei_3","F","Lutjanidae",2019,"0"
5,"Snappers nei_3","F","Lutjanidae",2020,"0"
6,"Blue shrimp_4","SH","Penaeidae",2006,"0"
6,"Blue shrimp_4","SH","Penaeidae",2007,"0"
6,"Blue shrimp_4","SH","Penaeidae",2008,"0"
6,"Blue shrimp_4","SH","Penaeidae",2009,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2010,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2011,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2012,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2013,"0"
6,"Blue shrimp_4","SH","Penaeidae",2014,"0"
6,"Blue shrimp_4","SH","Penaeidae",2015,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2016,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2017,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2018,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2019,"NA_to_zero"
6,"Blue shrimp_4","SH","Penaeidae",2020,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2010,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2011,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2012,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2013,"NA_to_zero"
6,"Whiteleg shrimp_5","SH","Penaeidae",2014,"NA_to_zero"
6,"Whiteleg shrimp_5","SH","Penaeidae",2015,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2016,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2017,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2018,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2019,"0"
6,"Whiteleg shrimp_5","SH","Penaeidae",2020,"0"
7,"Elkhorn sea moss_6","AL","Algae",2002,"0"
7,"Elkhorn sea moss_6","AL","Algae",2003,"0"
7,"Elkhorn sea moss_6","AL","Algae",2004,"0"
7,"Elkhorn sea moss_6","AL","Algae",2005,"0"
7,"Elkhorn sea moss_6","AL","Algae",2006,"0"
7,"Elkhorn sea moss_6","AL","Algae",2007,"0"
7,"Elkhorn sea moss_6","AL","Algae",2008,"0"
7,"Elkhorn sea moss_6","AL","Algae",2009,"0"
7,"Elkhorn sea moss_6","AL","Algae",2010,"0"
7,"Elkhorn sea moss_6","AL","Algae",2011,"0"
7,"Elkhorn sea moss_6","AL","Algae",2012,"0"
7,"Elkhorn sea moss_6","AL","Algae",2013,"0"
7,"Elkhorn sea moss_6","AL","Algae",2014,"0"
7,"Elkhorn sea moss_6","AL","Algae",2015,"0"
7,"Elkhorn sea moss_6","AL","Algae",2016,"0"
7,"Elkhorn sea moss_6","AL","Algae",2017,"0"
7,"Elkhorn sea moss_6","AL","Algae",2018,"0"
7,"Elkhorn sea moss_6","AL","Algae",2019,"0"
7,"Elkhorn sea moss_6","AL","Algae",2020,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1987,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1988,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1989,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1990,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1991,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1992,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1993,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1994,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1995,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1996,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1997,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1998,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",1999,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",2000,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",2001,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",2002,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2003,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2004,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2005,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2006,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2007,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",2008,"0"
7,"Giant tiger prawn_7","SH","Penaeidae",2009,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2010,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2011,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2012,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2013,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2014,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2015,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2016,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2017,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2018,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2019,"NA_to_zero"
7,"Giant tiger prawn_7","SH","Penaeidae",2020,"NA_to_zero"
8,"Bear paw clam_8","BI","Cardiidae",2002,"0"
8,"Bear paw clam_8","BI","Cardiidae",2003,"0"
8,"Bear paw clam_8","BI","Cardiidae",2004,"NA_to_zero"
8,"Bear paw clam_8","BI","Cardiidae",2005,"NA_to_zero"
8,"Bear paw clam_8","BI","Cardiidae",2006,"NA_to_zero"
8,"Bear paw clam_8","BI","Cardiidae",2007,"0"
8,"Bear paw clam_8","BI","Cardiidae",2008,"NA_to_zero"
8,"Bear paw clam_8","BI","Cardiidae",2009,"0"
8,"Bear paw clam_8","BI","Cardiidae",2010,"0"
8,"Bear paw clam_8","BI","Cardiidae",2011,"0"
8,"Bear paw clam_8","BI","Cardiidae",2012,"0"
8,"Bear paw clam_8","BI","Cardiidae",2013,"0"
8,"Bear paw clam_8","BI","Cardiidae",2014,"0"
8,"Bear paw clam_8","BI","Cardiidae",2015,"0"
8,"Bear paw clam_8","BI","Cardiidae",2016,"0"
8,"Bear paw clam_8","BI","Cardiidae",2017,"0"
8,"Bear paw clam_8","BI","Cardiidae",2018,"0"
8,"Bear paw clam_8","BI","Cardiidae",2019,"NA_to_zero"
8,"Bear paw clam_8","BI","Cardiidae",2020,"NA_to_zero"
8,"Crocus giant clam_9","BI","Veneridae",2004,"0"
8,"Crocus giant clam_9","BI","Veneridae",2005,"0"
8,"Crocus giant clam_9","BI","Veneridae",2006,"0"
8,"Crocus giant clam_9","BI","Veneridae",2007,"0"
8,"Crocus giant clam_9","BI","Veneridae",2008,"NA_to_zero"
8,"Crocus giant clam_9","BI","Veneridae",2009,"0"
8,"Crocus giant clam_9","BI","Veneridae",2010,"0"
8,"Crocus giant clam_9","BI","Veneridae",2011,"0"
8,"Crocus giant clam_9","BI","Veneridae",2012,"0"
8,"Crocus giant clam_9","BI","Veneridae",2013,"0"
8,"Crocus giant clam_9","BI","Veneridae",2014,"0"
8,"Crocus giant clam_9","BI","Veneridae",2015,"0"
8,"Crocus giant clam_9","BI","Veneridae",2016,"0"
8,"Crocus giant clam_9","BI","Veneridae",2017,"0"
8,"Crocus giant clam_9","BI","Veneridae",2018,"0"
8,"Crocus giant clam_9","BI","Veneridae",2019,"NA_to_zero"
8,"Crocus giant clam_9","BI","Veneridae",2020,"NA_to_zero"
8,"Elongate giant clam_10","BI","Cardiidae",2004,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2005,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2006,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2007,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2008,"NA_to_zero"
8,"Elongate giant clam_10","BI","Cardiidae",2009,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2010,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2011,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2012,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2013,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2014,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2015,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2016,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2017,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2018,"0"
8,"Elongate giant clam_10","BI","Cardiidae",2019,"NA_to_zero"
8,"Elongate giant clam_10","BI","Cardiidae",2020,"NA_to_zero"
8,"Fluted giant clam_11","BI","Cardiidae",2002,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2003,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2004,"NA_to_zero"
8,"Fluted giant clam_11","BI","Cardiidae",2005,"NA_to_zero"
8,"Fluted giant clam_11","BI","Cardiidae",2006,"NA_to_zero"
8,"Fluted giant clam_11","BI","Cardiidae",2007,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2008,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2009,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2010,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2011,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2012,"NA_to_zero"
8,"Fluted giant clam_11","BI","Cardiidae",2013,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2014,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2015,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2016,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2017,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2018,"0"
8,"Fluted giant clam_11","BI","Cardiidae",2019,"NA_to_zero"
8,"Fluted giant clam_11","BI","Cardiidae",2020,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",1989,"0"
8,"Giant clam_12","BI","Cardiidae",1990,"0"
8,"Giant clam_12","BI","Cardiidae",1991,"0"
8,"Giant clam_12","BI","Cardiidae",1992,"0"
8,"Giant clam_12","BI","Cardiidae",1993,"0"
8,"Giant clam_12","BI","Cardiidae",1994,"0"
8,"Giant clam_12","BI","Cardiidae",1995,"0"
8,"Giant clam_12","BI","Cardiidae",1996,"0"
8,"Giant clam_12","BI","Cardiidae",1997,"0"
8,"Giant clam_12","BI","Cardiidae",1998,"0"
8,"Giant clam_12","BI","Cardiidae",1999,"0"
8,"Giant clam_12","BI","Cardiidae",2000,"0"
8,"Giant clam_12","BI","Cardiidae",2001,"0"
8,"Giant clam_12","BI","Cardiidae",2002,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2003,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2004,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2005,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2006,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2007,"0"
8,"Giant clam_12","BI","Cardiidae",2008,"0"
8,"Giant clam_12","BI","Cardiidae",2009,"0"
8,"Giant clam_12","BI","Cardiidae",2010,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2011,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2012,"0"
8,"Giant clam_12","BI","Cardiidae",2013,"0"
8,"Giant clam_12","BI","Cardiidae",2014,"0"
8,"Giant clam_12","BI","Cardiidae",2015,"0"
8,"Giant clam_12","BI","Cardiidae",2016,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2017,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2018,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2019,"NA_to_zero"
8,"Giant clam_12","BI","Cardiidae",2020,"NA_to_zero"
8,"Milkfish_13","F","Chanidae",2007,"0"
8,"Milkfish_13","F","Chanidae",2008,"0"
8,"Milkfish_13","F","Chanidae",2009,"0"
8,"Milkfish_13","F","Chanidae",2010,"0"
