"rgn_id","product","year","gapfilled","method"
5,"ornamentals",1984,0,NA
5,"ornamentals",1985,0,NA
5,"ornamentals",1986,0,NA
5,"ornamentals",1987,0,NA
5,"ornamentals",1988,0,NA
5,"ornamentals",1989,0,NA
5,"ornamentals",1990,0,NA
5,"ornamentals",1991,0,NA
5,"ornamentals",1992,0,NA
5,"ornamentals",1993,0,NA
5,"ornamentals",1994,0,NA
5,"ornamentals",1995,0,NA
5,"ornamentals",1996,0,NA
5,"ornamentals",1997,0,NA
5,"ornamentals",1998,0,NA
5,"ornamentals",1999,0,NA
5,"ornamentals",2000,0,NA
5,"ornamentals",2001,0,NA
5,"ornamentals",2002,0,NA
5,"ornamentals",2003,0,NA
5,"ornamentals",2004,0,NA
5,"ornamentals",2005,0,NA
5,"ornamentals",2006,0,NA
5,"ornamentals",2007,0,NA
5,"ornamentals",2008,0,NA
5,"ornamentals",2009,0,NA
5,"ornamentals",2010,0,NA
5,"ornamentals",2011,0,NA
5,"ornamentals",2012,0,NA
5,"ornamentals",2013,0,NA
5,"ornamentals",2014,0,NA
5,"ornamentals",2015,0,NA
5,"ornamentals",2016,0,NA
5,"ornamentals",2017,0,NA
6,"ornamentals",2003,0,NA
6,"ornamentals",2004,0,NA
6,"ornamentals",2005,0,NA
6,"ornamentals",2006,0,NA
6,"ornamentals",2007,0,NA
6,"ornamentals",2008,0,NA
6,"ornamentals",2009,0,NA
6,"ornamentals",2010,0,NA
6,"ornamentals",2011,0,NA
6,"ornamentals",2012,0,NA
6,"ornamentals",2013,0,NA
6,"ornamentals",2014,0,NA
6,"ornamentals",2015,0,NA
6,"ornamentals",2016,0,NA
6,"ornamentals",2017,0,NA
7,"ornamentals",1996,0,NA
7,"ornamentals",1997,0,NA
7,"ornamentals",1998,0,NA
7,"ornamentals",1999,0,NA
7,"ornamentals",2000,0,NA
7,"ornamentals",2001,0,NA
7,"ornamentals",2002,0,NA
7,"ornamentals",2003,0,NA
7,"ornamentals",2004,0,NA
7,"ornamentals",2005,0,NA
7,"ornamentals",2006,0,NA
7,"ornamentals",2007,0,NA
7,"ornamentals",2008,0,NA
7,"ornamentals",2009,0,NA
7,"ornamentals",2010,0,NA
7,"ornamentals",2011,0,NA
7,"ornamentals",2012,0,NA
7,"ornamentals",2013,0,NA
7,"ornamentals",2014,0,NA
7,"ornamentals",2015,0,NA
7,"ornamentals",2016,0,NA
7,"ornamentals",2017,0,NA
8,"ornamentals",1995,0,NA
8,"ornamentals",1996,0,NA
8,"ornamentals",1997,0,NA
8,"ornamentals",1998,0,NA
8,"ornamentals",1999,0,NA
8,"ornamentals",2000,0,NA
8,"ornamentals",2001,0,NA
8,"ornamentals",2002,0,NA
8,"ornamentals",2003,0,NA
8,"ornamentals",2004,0,NA
8,"ornamentals",2005,0,NA
8,"ornamentals",2006,0,NA
8,"ornamentals",2007,0,NA
8,"ornamentals",2008,0,NA
8,"ornamentals",2009,0,NA
8,"ornamentals",2010,0,NA
8,"ornamentals",2011,0,NA
8,"ornamentals",2012,0,NA
8,"ornamentals",2013,0,NA
8,"ornamentals",2014,0,NA
8,"ornamentals",2015,0,NA
8,"ornamentals",2016,0,NA
8,"ornamentals",2017,0,NA
9,"ornamentals",1991,0,NA
9,"ornamentals",1992,0,NA
9,"ornamentals",1993,0,NA
9,"ornamentals",1994,0,NA
9,"ornamentals",1995,0,NA
9,"ornamentals",1996,0,NA
9,"ornamentals",1997,0,NA
9,"ornamentals",1998,0,NA
9,"ornamentals",1999,0,NA
9,"ornamentals",2000,0,NA
9,"ornamentals",2001,0,NA
9,"ornamentals",2002,0,NA
9,"ornamentals",2003,0,NA
9,"ornamentals",2004,0,NA
9,"ornamentals",2005,0,NA
9,"ornamentals",2006,0,NA
9,"ornamentals",2007,0,NA
9,"ornamentals",2008,0,NA
9,"ornamentals",2009,0,NA
9,"ornamentals",2010,0,NA
9,"ornamentals",2011,0,NA
9,"ornamentals",2012,0,NA
9,"ornamentals",2013,0,NA
9,"ornamentals",2014,0,NA
9,"ornamentals",2015,0,NA
9,"ornamentals",2016,0,NA
9,"ornamentals",2017,0,NA
11,"ornamentals",1981,0,NA
11,"ornamentals",1982,0,NA
11,"ornamentals",1983,0,NA
11,"ornamentals",1984,0,NA
11,"ornamentals",1985,0,NA
11,"ornamentals",1986,0,NA
11,"ornamentals",1987,0,NA
11,"ornamentals",1988,0,NA
11,"ornamentals",1989,0,NA
11,"ornamentals",1990,0,NA
11,"ornamentals",1991,0,NA
11,"ornamentals",1992,0,NA
11,"ornamentals",1993,0,NA
11,"ornamentals",1994,0,NA
11,"ornamentals",1995,0,NA
11,"ornamentals",1996,0,NA
11,"ornamentals",1997,0,NA
11,"ornamentals",1998,0,NA
11,"ornamentals",1999,0,NA
11,"ornamentals",2000,0,NA
11,"ornamentals",2001,0,NA
11,"ornamentals",2002,0,NA
11,"ornamentals",2003,0,NA
11,"ornamentals",2004,0,NA
11,"ornamentals",2005,0,NA
11,"ornamentals",2006,0,NA
