rgn_id,trend_lm,year,ico_trend
1,0,1993,0
2,2.009718347115539e-16,1993,0
3,2.009718347115539e-16,1993,0
5,0,1993,0
6,2.009718347115539e-16,1993,0
7,0,1993,0
8,2.009718347115539e-16,1993,0
9,0,1993,0
10,2.009718347115539e-16,1993,0
11,0,1993,0
12,0,1993,0
13,0,1993,0
14,2.009718347115539e-16,1993,0
15,0,1993,0
16,0,1993,0
17,0,1993,0
18,2.009718347115539e-16,1993,0
19,0,1993,0
20,1.0048591735577695e-16,1993,0
21,0,1993,0
24,1.0048591735577695e-16,1993,0
25,0,1993,0
28,0,1993,0
29,1.0048591735577695e-16,1993,0
30,0,1993,0
31,1.0048591735577695e-16,1993,0
32,0,1993,0
33,0,1993,0
34,0,1993,0
35,0,1993,0
36,0,1993,0
37,1.0048591735577695e-16,1993,0
38,2.009718347115539e-16,1993,0
39,2.009718347115539e-16,1993,0
40,2.009718347115539e-16,1993,0
41,0,1993,0
42,1.0048591735577695e-16,1993,0
43,1.0048591735577695e-16,1993,0
44,0,1993,0
45,0,1993,0
46,0,1993,0
47,2.009718347115539e-16,1993,0
48,2.009718347115539e-16,1993,0
49,0,1993,0
50,2.009718347115539e-16,1993,0
51,0,1993,0
52,0,1993,0
53,1.0048591735577695e-16,1993,0
54,0,1993,0
56,2.009718347115539e-16,1993,0
59,2.009718347115539e-16,1993,0
60,0,1993,0
61,2.009718347115539e-16,1993,0
62,0,1993,0
63,0,1993,0
64,2.009718347115539e-16,1993,0
65,0,1993,0
66,0,1993,0
67,0,1993,0
68,0,1993,0
69,2.009718347115539e-16,1993,0
70,2.009718347115539e-16,1993,0
71,0,1993,0
72,0,1993,0
73,2.009718347115539e-16,1993,0
74,0,1993,0
75,0,1993,0
76,2.009718347115539e-16,1993,0
77,0,1993,0
78,0,1993,0
79,0,1993,0
80,2.009718347115539e-16,1993,0
81,0,1993,0
82,2.009718347115539e-16,1993,0
84,0,1993,0
85,0,1993,0
86,0,1993,0
88,0,1993,0
89,0,1993,0
91,0,1993,0
92,0,1993,0
93,0,1993,0
94,0,1993,0
95,0,1993,0
96,2.009718347115539e-16,1993,0
97,2.009718347115539e-16,1993,0
98,0,1993,0
99,2.009718347115539e-16,1993,0
100,2.009718347115539e-16,1993,0
101,0,1993,0
102,2.009718347115539e-16,1993,0
103,2.009718347115539e-16,1993,0
104,1.0048591735577695e-16,1993,0
105,0,1993,0
106,0,1993,0
108,2.009718347115539e-16,1993,0
110,0,1993,0
111,0,1993,0
112,2.009718347115539e-16,1993,0
113,0,1993,0
114,2.009718347115539e-16,1993,0
115,0,1993,0
116,0,1993,0
117,0,1993,0
118,2.009718347115539e-16,1993,0
119,0,1993,0
120,2.009718347115539e-16,1993,0
121,0,1993,0
122,0,1993,0
123,0,1993,0
124,0,1993,0
125,0,1993,0
126,2.009718347115539e-16,1993,0
127,0,1993,0
129,0,1993,0
130,0,1993,0
131,2.009718347115539e-16,1993,0
132,0,1993,0
133,0,1993,0
134,0,1993,0
135,2.009718347115539e-16,1993,0
136,0,1993,0
137,1.0048591735577695e-16,1993,0
138,-1.0048591735577695e-16,1993,-0
139,2.009718347115539e-16,1993,0
140,2.009718347115539e-16,1993,0
141,2.009718347115539e-16,1993,0
143,0,1993,0
144,0,1993,0
145,1.0048591735577695e-16,1993,0
146,2.009718347115539e-16,1993,0
147,2.009718347115539e-16,1993,0
149,0,1993,0
150,0,1993,0
151,0,1993,0
152,2.009718347115539e-16,1993,0
153,2.009718347115539e-16,1993,0
154,0,1993,0
155,0,1993,0
156,2.009718347115539e-16,1993,0
158,0,1993,0
159,0,1993,0
161,2.009718347115539e-16,1993,0
162,0,1993,0
163,2.009718347115539e-16,1993,0
164,0,1993,0
166,2.009718347115539e-16,1993,0
167,0,1993,0
168,0,1993,0
169,2.009718347115539e-16,1993,0
171,0,1993,0
172,0,1993,0
173,0,1993,0
174,2.009718347115539e-16,1993,0
175,0,1993,0
176,0,1993,0
177,0,1993,0
178,2.009718347115539e-16,1993,0
179,0,1993,0
180,0,1993,0
181,2.009718347115539e-16,1993,0
182,0,1993,0
183,0,1993,0
184,0,1993,0
185,0,1993,0
186,2.009718347115539e-16,1993,0
187,2.009718347115539e-16,1993,0
188,2.009718347115539e-16,1993,0
189,2.009718347115539e-16,1993,0
190,0,1993,0
191,1.0048591735577695e-16,1993,0
192,2.009718347115539e-16,1993,0
193,0,1993,0
194,1.0048591735577695e-16,1993,0
195,2.009718347115539e-16,1993,0
196,0,1993,0
197,2.009718347115539e-16,1993,0
198,0,1993,0
199,0,1993,0
200,1.0048591735577695e-16,1993,0
202,0,1993,0
203,1.0048591735577695e-16,1993,0
204,2.009718347115539e-16,1993,0
205,0,1993,0
206,0,1993,0
207,0,1993,0
208,2.009718347115539e-16,1993,0
209,0,1993,0
210,0,1993,0
212,0,1993,0
213,0,1993,0
214,0,1993,0
215,0,1993,0
216,0,1993,0
218,0,1993,0
219,0,1993,0
220,0,1993,0
221,2.009718347115539e-16,1993,0
222,2.009718347115539e-16,1993,0
223,0,1993,0
224,0,1993,0
227,2.009718347115539e-16,1993,0
228,2.009718347115539e-16,1993,0
231,0,1993,0
232,0,1993,0
244,0,1993,0
245,2.009718347115539e-16,1993,0
247,0,1993,0
248,2.009718347115539e-16,1993,0
249,2.009718347115539e-16,1993,0
250,0,1993,0
1,-1.230696119285898e-16,1994,-0
2,-1.230696119285898e-16,1994,-0
3,-1.230696119285898e-16,1994,-0
5,-1.230696119285898e-16,1994,-0
6,-1.230696119285898e-16,1994,-0
7,-1.230696119285898e-16,1994,-0
8,-0,1994,-0
9,-1.230696119285898e-16,1994,-0
10,-2.461392238571796e-16,1994,-0
11,-2.461392238571796e-16,1994,-0
12,-1.230696119285898e-16,1994,-0
13,-0,1994,-0
14,-1.230696119285898e-16,1994,-0
15,-1.230696119285898e-16,1994,-0
16,-1.230696119285898e-16,1994,-0
17,-1.230696119285898e-16,1994,-0
18,-1.230696119285898e-16,1994,-0
19,-0,1994,-0
20,0.007145000000004783,1994,0.03573
21,-6.15348059642949e-17,1994,-0
24,-1.846044178928847e-16,1994,-0
25,-1.846044178928847e-16,1994,-0
28,-1.846044178928847e-16,1994,-0
29,-1.846044178928847e-16,1994,-0
30,-6.15348059642949e-17,1994,-0
31,-1.230696119285898e-16,1994,-0
32,-1.230696119285898e-16,1994,-0
33,-6.15348059642949e-17,1994,-0
34,-6.15348059642949e-17,1994,-0
35,-6.15348059642949e-17,1994,-0
36,-6.15348059642949e-17,1994,-0
