"rgn_id","species","fao","environment","year","include","value","Taxon_code","gap_0_fill","species_code","tonnes"
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2002,0.99,6,"AL","0",1,5.94
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2003,0.99,400,"AL","0",1,396
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2004,0.99,1711.2,"AL","0",1,1694.088
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2005,0.99,2608.8,"AL","0",1,2582.712
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2006,0.99,1353.6,"AL","0",1,1340.064
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2007,0.99,865.6,"AL","0",1,856.944
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2008,0.99,1159.2,"AL","0",1,1147.608
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2009,0.99,4028.8,"AL","0",1,3988.512
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2010,0.99,7104,"AL","0",1,7032.96
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2011,0.99,7217.6,"AL","0",1,7145.424
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2012,0.99,6990.4,"AL","0",1,6920.496
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2013,0.99,11812,"AL","0",1,11693.88
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2014,0.99,12162.4,"AL","0",1,12040.776
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2015,0.99,12200,"AL","0",1,12078
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2016,0.99,10580,"AL","0",1,10474.2
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2017,0.99,4780,"AL","0",1,4732.2
7,"Elkhorn sea moss","Pacific, Western Central","Marine",2018,0.99,5520,"AL","0",1,5464.8
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1985,0.9,85,"AL","0",2,76.5
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1986,0.9,1,"AL","0",2,0.9
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1987,0.9,1,"AL","0",2,0.9
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1988,0.9,1,"AL","0",2,0.9
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1989,0.9,1,"AL","0",2,0.9
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1990,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1991,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1992,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1993,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1994,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1995,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1996,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1997,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1998,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",1999,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2000,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2001,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2002,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2003,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2004,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2005,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2006,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2007,0.9,0,"AL","NA_to_zero",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2008,0.9,0,"AL","0",2,0
9,"Eucheuma seaweeds nei","Pacific, Western Central","Marine",2009,0.9,0,"AL","0",2,0
