name,count,code,country,presence,origin,distribution_code
11200,47,AR,Argentina,Extant,Native,unspecified
11200,47,AU,Australia,Extant,Native,unspecified
11200,47,BA,Bosnia and Herzegovina,Extant,Native,unspecified
11200,47,BE,Belgium,Extant,Native,unspecified
11200,47,BM,Bermuda,Extant,Native,unspecified
11200,47,BR,Brazil,Extant,Native,unspecified
11200,47,CA,Canada,Extant,Native,unspecified
11200,47,CL,Chile,Extant,Native,unspecified
11200,47,DE,Germany,Extant,Native,unspecified
11200,47,DK,Denmark,Extant,Native,unspecified
11200,47,DZ,Algeria,Extant,Native,unspecified
11200,47,EG,Egypt,Extant,Native,unspecified
11200,47,EH,Western Sahara,Extant,Native,unspecified
11200,47,ES,Spain,Extant,Native,unspecified
11200,47,FK,Falkland Islands (Malvinas),Extant,Native,unspecified
11200,47,FO,Faroe Islands,Extant,Native,unspecified
11200,47,FR,France,Extant,Native,unspecified
11200,47,GB,United Kingdom of Great Britain and Northern Ireland,Extant,Native,unspecified
11200,47,GG,Guernsey,Extant,Native,unspecified
11200,47,GI,Gibraltar,Extant,Native,unspecified
11200,47,GL,Greenland,Extant,Native,unspecified
11200,47,GN,Guinea,Extant,Native,unspecified
11200,47,GR,Greece,Extant,Native,unspecified
11200,47,HM,Heard Island and McDonald Islands,Extant,Native,unspecified
11200,47,HR,Croatia,Extant,Native,unspecified
11200,47,IE,Ireland,Extant,Native,unspecified
11200,47,IM,Isle of Man,Extant,Native,unspecified
11200,47,IS,Iceland,Extant,Native,unspecified
11200,47,IT,Italy,Extant,Native,unspecified
11200,47,JE,Jersey,Extant,Native,unspecified
11200,47,LY,Libya,Extant,Native,unspecified
11200,47,MA,Morocco,Extant,Native,unspecified
11200,47,MC,Monaco,Extant,Native,unspecified
11200,47,ME,Montenegro,Extant,Native,unspecified
11200,47,MT,Malta,Extant,Native,unspecified
11200,47,"NA",Namibia,Extant,Native,unspecified
11200,47,NL,Netherlands,Extant,Native,unspecified
11200,47,NO,Norway,Extant,Native,unspecified
11200,47,PM,Saint Pierre and Miquelon,Extant,Native,unspecified
11200,47,PT,Portugal,Extant,Native,unspecified
11200,47,RE,Réunion,Extant,Native,unspecified
11200,47,SE,Sweden,Extant,Native,unspecified
11200,47,TF,French Southern Territories,Extant,Native,unspecified
11200,47,TN,Tunisia,Extant,Native,unspecified
11200,47,US,United States of America,Extant,Native,unspecified
11200,47,UY,Uruguay,Extant,Native,unspecified
11200,47,ZA,South Africa,Extant,Native,unspecified
